sentences,num_1,num_2,num_3,num_4,num_5,vectorized_1,vectorized_2,vectorized_3,vectorized_4,vectorized_5,model,time,token,cost,interation,result
What is the total area of all spaces in Snowdon Towers Sample Architectural.ifc?,0,1,1,0,0,0.52748215,2.6930106,3.089944,-3.0293856,-0.9559214,3.5 Turbo,19.09,3775,0.0024285,2,0
What is the total area of all spaces in Snowdon Towers Sample Architectural.ifc?,0,1,1,0,0,0.52748215,2.6930106,3.089944,-3.0293856,-0.9559214,4o,8.83,2968,0.01659,1,1
Which space has the smallest area in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.55196697,2.755502,3.0786498,-3.1507385,-0.9808455,4o,9.7,3020,0.01739,1,1
Which space has the smallest area in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.55196697,2.755502,3.0786498,-3.1507385,-0.9808455,4 Turbo,11.33,3002,0.03418,1,0
Which space has the largest volume in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.52588403,2.577191,2.8973176,-2.9227245,-0.92705584,No,1.42,794,0.00047,0,0
Which space has the largest volume in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.52588403,2.577191,2.8973176,-2.9227245,-0.92705584,4o,65.53,14492,0.09229,4,0
Which space has the smallest volume in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.59136015,2.9935791,3.3132632,-3.3659828,-1.0551455,4 Turbo,82.26,27720,0.31548,4,0
How many spaces are live room in Snowdon Towers Sample Architectural.ifc?,1,1,0,0,1,0.2913311,1.6523641,1.8298086,-1.7560273,-0.52903754,4o,53.61,6561,0.044535,4,0
How many spaces are cafe in Snowdon Towers Sample Architectural.ifc?,1,1,0,0,1,0.45406112,2.256241,2.5009675,-2.443332,-0.7246137,3.5 Turbo,3.45,2902,0.00156,1,0
Which storey has the least number of spaces in Snowdon Towers Sample Architectural.ifc?,1,0,1,1,0,0.54854274,2.694564,2.969545,-3.0236769,-0.92218316,3.5 Turbo,58.07,12119,0.0073945,4,0
How many spaces are on the second storey of Snowdon Towers Sample Architectural.ifc?,1,0,0,0,0,0.4765719,2.476333,2.7048762,-2.6768992,-0.82208353,4 Turbo,11.75,2907,0.03127,1,0
What is the function of the smallest space in Snowdon Towers Sample Architectural.ifc,0,1,1,1,0,0.6016057,3.1707566,3.6202097,-3.5254433,-1.2009206,4o,29.14,9752,0.05548,2,0
What is the function of the largest space in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.5495415,2.8272128,3.2625914,-3.1629689,-1.085098,3.5 Turbo,47.04,6910,0.004191,4,0
Which storey has the smallest total area in Snowdon Towers Sample Architectural.ifc?,1,0,1,1,0,0.4435342,2.3952932,2.6767128,-2.7034347,-0.8591133,4 Turbo,42.25,10075,0.11679,3,0
How many spaces have an area less than 20 square meters in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.4319931,1.9510132,2.2016141,-2.1637485,-0.60080636,No,1.42,794,0.00047,0,0
How many spaces have an area less than 20 square meters in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.4319931,1.9510132,2.2016141,-2.1637485,-0.60080636,4o,12.5,1234,0.00961,1,0
How many spaces have an area greater than 50 square meters in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.43408346,1.9412882,2.183816,-2.1426322,-0.6048556,4 Turbo,18.33,2996,0.03388,1,0
Which storey has the most windows in Snowdon Towers Sample Architectural.ifc?,1,0,1,1,0,0.42179596,2.332047,2.639373,-2.603468,-0.83878475,4 Turbo,21.98,2997,0.03401,1,1
What is the average area of all spaces in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.51657516,2.6607869,3.089157,-3.026295,-0.929675,3.5 Turbo,21.98,9544,0.00541,4,0
How many storeys have more than 5 spaces in Snowdon Towers Sample Architectural.ifc?,0,0,1,1,1,0.4740267,2.3322356,2.610527,-2.5631163,-0.7016951,3.5 Turbo,20.31,3531,0.0021585,2,0
Which space has the most windows in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,1,0.46986896,2.4021814,2.711741,-2.6802704,-0.87228936,4o,36.02,10585,0.063615,3,0
How many spaces have a ceiling height less than 2.5 meters in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.3183925,1.5857085,1.7699084,-1.7345595,-0.46296236,4o,10.35,3039,0.017595,1,0
How many spaces have a ceiling height less than 2.5 meters in Snowdon Towers Sample Architectural.ifc?,0,1,1,1,0,0.3183925,1.5857085,1.7699084,-1.7345595,-0.46296236,No,1.42,794,0.00047,0,0
